Barcode Nomenclature,Rules/Rule Name,Rules/Type,Rules/Alias,Rules/Barcode Pattern,Rules/Sequence
,DH73022V,Alias,DH73022V,DH73022V-{N},1
,DV73022V,Alias,DV73022V,DV73022V-{N},1
,DS7304X3,Alias,DS7304X3,DS7304X3-{N},1
,DV7302X3,Alias,DV7302X3,DV7302X3-{N},1
,DH7302X3,Alias,DH7302X3,DH7302X3-{N},1
,DU7302X4,Alias,DU7302X4,DU7302X4-{N},1
,DH7302X4,Alias,DH7302X4,DH7302X4-{N},1
,DS7304X4,Alias,DS7304X4,DS7304X4-{N},1
,DU7309X4,Alias,DU7309X4,DU7309X4-{N},1
,DU73023H,Alias,DU73023H,DU73023H-{N},1
,DU73023J,Alias,DU73023J,DU73023J-{N},1
,DZ73023A,Alias,DZ73023A,DZ73023A-{N},1
,DZ73023Q,Alias,DZ73023Q,DZ73023Q-{N},1
,DU7309Y7,Alias,DU7309Y7,DU7309Y7-{N},1
,52JD0062,Alias,52JD0062,52JD0062-{N},1
,BF182590,Alias,BF182590,BF182590-{N},1
,DK73022V,Alias,DK73022V,DK73022V-{N},1
,52DJ0563,Alias,52DJ0563,52DJ0563-{N},1
,52DJ0535,Alias,52DJ0535,52DJ0535-{N},1
,52DH0535,Alias,52DH0535,52DH0535-{N},1
,52DH0529,Alias,52DH0529,52DH0529-{N},1
,52DH0824,Alias,52DH0824,52DH0824-{N},1
,52DJ0533,Alias,52DJ0533,52DJ0533-{N},1
,52DJ0537,Alias,52DJ0537,52DJ0537-{N},1
,52DH0531,Alias,52DH0531,52DH0531-{N},1
,DZ161042,Alias,DZ161042,DZ161042-{N},1
,JL113818,Alias,JL113818,JL113818-{N},1
,BF243073,Alias,BF243073,BF243073-{N},1
,BF243074,Alias,BF243074,BF243074-{N},1
,BF243098,Alias,BF243098,BF243098-{N},1
,BF243099,Alias,BF243099,BF243099-{N},1
,BF182492,Alias,BF182492,BF182492-{N},1
,PA402414,Alias,PA402414,PA402414-{N},1
,PA402410,Alias,PA402410,PA402410-{N},1
,AL161498,Alias,AL161498,AL161498-{N},1
,AA161306,Alias,AA161306,AA161306-{N},1
,AA161216,Alias,AA161216,AA161216-{N},1
,JB171017,Alias,JB171017,JB171017-{N},1
,DH161145,Alias,DH161145,DH161145-{N},1
,JL113212,Alias,JL113212,JL113212-{N},1
,DH161146,Alias,DH161146,DH161146-{N},1
,GF181009,Alias,GF181009,GF181009-{N},1
,GF181010,Alias,GF181010,GF181010-{N},1
,AL161379,Alias,AL161379,AL161379-{N},1
,PD171008,Alias,PD171008,PD171008-{N},1
,JL181439,Alias,JL181439,JL181439-{N},1
,DS101026,Alias,DS101026,DS101026-{N},1
,DJ101217,Alias,DJ101217,DJ101217-{N},1
,JL511029,Alias,JL511029,JL511029-{N},1
,PA402426,Alias,PA402426,PA402426-{N},1
,BF186605,Alias,BF186605,BF186605-{N},1
,DD181090,Alias,DD181090,DD181090-{N},1
,DD181091,Alias,DD181091,DD181091-{N},1
,JC181022,Alias,JC181022,JC181022-{N},1
,JC181006,Alias,JC181006,JC181006-{N},1
,GF101050,Alias,GF101050,GF101050-{N},1
,DT181415,Alias,DT181415,DT181415-{N},1
,JZ161042,Alias,JZ161042,JZ161042-{N},1
,PF161032,Alias,PF161032,PF161032-{N},1
,JL601005,Alias,JL601005,JL601005-{N},1
,JG601011,Alias,JG601011,JG601011-{N},1
,DZ191028,Alias,DZ191028,DZ191028-{N},1
,AL161383,Alias,AL161383,AL161383-{N},1
,AA231223,Alias,AA231223,AA231223-{N},1
,GF161051,Alias,GF161051,GF161051-{N},1
,16121004,Alias,16121004,16121004-{N},1
,DS151056,Alias,DS151056,DS151056-{N},1
,DD181088,Alias,DD181088,DD181088-{N},1
,DD181089,Alias,DD181089,DD181089-{N},1
,DP101067,Alias,DP101067,DP101067-{N},1
,31191017,Alias,31191017,31191017-{N},1
,DU191022,Alias,DU191022,DU191022-{N},1
,DG221028,Alias,DG221028,DG221028-{N},1
,JD401023,Alias,JD401023,JD401023-{N},1
,DU161011,Alias,DU161011,DU161011-{N},1
,DG161220,Alias,DG161220,DG161220-{N},1
,GH181002,Alias,GH181002,GH181002-{N},1
,DS161066,Alias,DS161066,DS161066-{N},1
,JF181287,Alias,JF181287,JF181287-{N},1
,JU601200,Alias,JU601200,JU601200-{N},1
,JL601210,Alias,JL601210,JL601210-{N},1
,DT181001,Alias,DT181001,DT181001-{N},1
,DK73032V,Alias,DK73032V,DK73032V-{N},1
,JZ73035A,Alias,JZ73035A,JZ73035A-{N},1
,JZ73035B,Alias,JZ73035B,JZ73035B-{N},1
,JN181000,Alias,JN181000,JN181000-{N},1
,JW181200,Alias,JW181200,JW181200-{N},1
,DP181038,Alias,DP181038,DP181038-{N},1
,JB181210,Alias,JB181210,JB181210-{N},1
,52JZ0596,Alias,52JZ0596,52JZ0596-{N},1
,JZ74033F,Alias,JZ74033F,JZ74033F-{N},1
,JZ74033B,Alias,JZ74033B,JZ74033B-{N},1
,JZ74033C,Alias,JZ74033C,JZ74033C-{N},1
,PA74055W,Alias,PA74055W,PA74055W-{N},1
,PA74055R,Alias,PA74055R,PA74055R-{N},1
,PA74053F,Alias,PA74053F,PA74053F-{N},1
,31181061,Alias,31181061,31181061-{N},1
,52JZ0023,Alias,52JZ0023,52JZ0023-{N},1
,52JZ0118,Alias,52JZ0118,52JZ0118-{N},1
,52PA0015,Alias,52PA0015,52PA0015-{N},1
,52PA0016,Alias,52PA0016,52PA0016-{N},1
,52PA0018,Alias,52PA0018,52PA0018-{N},1
,52PA0017,Alias,52PA0017,52PA0017-{N},1
,52PA0019,Alias,52PA0019,52PA0019-{N},1
,52PA0145,Alias,52PA0145,52PA0145-{N},1
,DF181036,Alias,DF181036,DF181036-{N},1
,DF181037,Alias,DF181037,DF181037-{N},1
,AA101686,Alias,AA101686,AA101686-{N},1
,DF181076,Alias,DF181076,DF181076-{N},1
,52JZ0100,Alias,52JZ0100,52JZ0100-{N},1
,52JZ0926,Alias,52JZ0926,52JZ0926-{N},1
,52JZ0927,Alias,52JZ0927,52JZ0927-{N},1
,52JZ0929,Alias,52JZ0929,52JZ0929-{N},1
,24101155,Alias,24101155,24101155-{N},1
,52JZ0054,Alias,52JZ0054,52JZ0054-{N},1
,52JZ0055,Alias,52JZ0055,52JZ0055-{N},1
,52PA0537,Alias,52PA0537,52PA0537-{N},1
,52PA0536,Alias,52PA0536,52PA0536-{N},1
,AA101150,Alias,AA101150,AA101150-{N},1
,AA101512,Alias,AA101512,AA101512-{N},1
,BB103389,Alias,BB103389,BB103389-{N},1
,R52JZ0597,Alias,R52JZ0597,R52JZ0597-{N},1
,R52JZ0598,Alias,R52JZ0598,R52JZ0598-{N},1
,52JZ0598,Alias,52JZ0598,52JZ0598-{N},1
,52JZ0597,Alias,52JZ0597,52JZ0597-{N},1
,STDU1081,Alias,STDU1081,STDU1081-{N},1
,STDU1082,Alias,STDU1082,STDU1082-{N},1
,STDU1083,Alias,STDU1083,STDU1083-{N},1
,STDU1084,Alias,STDU1084,STDU1084-{N},1
,STDU1080,Alias,STDU1080,STDU1080-{N},1
,STDU1079,Alias,STDU1079,STDU1079-{N},1
,STDU181096,Alias,STDU181096,STDU181096-{N},1
,DU181096,Alias,DU181096,DU181096-{N},1
,DU181097,Alias,DU181097,DU181097-{N},1
,STDU181097,Alias,STDU181097,STDU181097-{N},1
,DU181092,Alias,DU181092,DU181092-{N},1
,DU181089,Alias,DU181089,DU181089-{N},1
,DU181091,Alias,DU181091,DU181091-{N},1
,DU181090,Alias,DU181090,DU181090-{N},1
,52DU0934,Alias,52DU0934,52DU0934-{N},1
,R52DU0934,Alias,R52DU0934,R52DU0934-{N},1
,52JZ1804,Alias,52JZ1804,52JZ1804-{N},1
,52DU0929,Alias,52DU0929,52DU0929-{N},1
,52PA0522,Alias,52PA0522,52PA0522-{N},1
,AN101183,Alias,AN101183,AN101183-{N},1
,PA74053C,Alias,PA74053C,PA74053C-{N},1
,52JZ1805,Alias,52JZ1805,52JZ1805-{N},1
,52DU0939,Alias,52DU0939,52DU0939-{N},1
,DS181023,Alias,DS181023,DS181023-{N},1
,AN101162,Alias,AN101162,AN101162-{N},1
,DF181057,Alias,DF181057,DF181057-{N},1
,DF181055,Alias,DF181055,DF181055-{N},1
,52JD0603,Alias,52JD0603,52JD0603-{N},1
,52JD0479,Alias,52JD0479,52JD0479-{N},1
,52JD0656,Alias,52JD0656,52JD0656-{N},1
,52JD0477,Alias,52JD0477,52JD0477-{N},1
,JD73015L,Alias,JD73015L,JD73015L-{N},1
,JD73015G,Alias,JD73015G,JD73015G-{N},1
,52JD0604,Alias,52JD0604,52JD0604-{N},1
,JZ181293,Alias,JZ181293,JZ181293-{N},1
,JZ181294,Alias,JZ181294,JZ181294-{N},1
,PF7401X3,Alias,PF7401X3,PF7401X3-{N},1
,PF74013E,Alias,PF74013E,PF74013E-{N},1
,PF74013F,Alias,PF74013F,PF74013F-{N},1
,52PA0555,Alias,52PA0555,52PA0555-{N},1
,DU181030,Alias,DU181030,DU181030-{N},1
,DF181056,Alias,DF181056,DF181056-{N},1
,DF181058,Alias,DF181058,DF181058-{N},1
,52JD0638,Alias,52JD0638,52JD0638-{N},1
,52JD0480,Alias,52JD0480,52JD0480-{N},1
,52JD0657,Alias,52JD0657,52JD0657-{N},1
,52JD0478,Alias,52JD0478,52JD0478-{N},1
,JD73025L,Alias,JD73025L,JD73025L-{N},1
,JD73025G,Alias,JD73025G,JD73025G-{N},1
,52JD0639,Alias,52JD0639,52JD0639-{N},1
,52JZ1850,Alias,52JZ1850,52JZ1850-{N},1
,DD73041B,Alias,DD73041B,DD73041B-{N},1
,DD73041A,Alias,DD73041A,DD73041A-{N},1
,DZ73033W,Alias,DZ73033W,DZ73033W-{N},1
,DS7301X6,Alias,DS7301X6,DS7301X6-{N},1
,DH7303X6,Alias,DH7303X6,DH7303X6-{N},1
,DZ73032V,Alias,DZ73032V,DZ73032V-{N},1
,DH73032V,Alias,DH73032V,DH73032V-{N},1
,DU7303W1,Alias,DU7303W1,DU7303W1-{N},1
,DH7303X3,Alias,DH7303X3,DH7303X3-{N},1
,DS7301X3,Alias,DS7301X3,DS7301X3-{N},1
,DU7303X4,Alias,DU7303X4,DU7303X4-{N},1
,DH7303X4,Alias,DH7303X4,DH7303X4-{N},1
,DU7310X4,Alias,DU7310X4,DU7310X4-{N},1
,DU73102R,Alias,DU73102R,DU73102R-{N},1
,DU730322,Alias,DU730322,DU730322-{N},1
,DU73033H,Alias,DU73033H,DU73033H-{N},1
,DU73033J,Alias,DU73033J,DU73033J-{N},1
,DZ73033A,Alias,DZ73033A,DZ73033A-{N},1
,DZ73033Q,Alias,DZ73033Q,DZ73033Q-{N},1
,DZ73033V,Alias,DZ73033V,DZ73033V-{N},1
,DU7303Y7,Alias,DU7303Y7,DU7303Y7-{N},1
,DD7304Y7,Alias,DD7304Y7,DD7304Y7-{N},1
,DU7310Y7,Alias,DU7310Y7,DU7310Y7-{N},1
,52PA0523,Alias,52PA0523,52PA0523-{N},1
,52JZ0599,Alias,52JZ0599,52JZ0599-{N},1
,52DU0578,Alias,52DU0578,52DU0578-{N},1
,52DU0575,Alias,52DU0575,52DU0575-{N},1
,52DU0577,Alias,52DU0577,52DU0577-{N},1
,52DU0576,Alias,52DU0576,52DU0576-{N},1
,52PF1156,Alias,52PF1156,52PF1156-{N},1
,STJZ0027,Alias,STJZ0027,STJZ0027-{N},1
,STJZ0028,Alias,STJZ0028,STJZ0028-{N},1
,PA74055V,Alias,PA74055V,PA74055V-{N},1
,52JZ0018,Alias,52JZ0018,52JZ0018-{N},1
,52PA0140,Alias,52PA0140,52PA0140-{N},1
,DF181073,Alias,DF181073,DF181073-{N},1
,DF181075,Alias,DF181075,DF181075-{N},1
,DF181093,Alias,DF181093,DF181093-{N},1
,DF181074,Alias,DF181074,DF181074-{N},1
,DF181094,Alias,DF181094,DF181094-{N},1
,52PA0554,Alias,52PA0554,52PA0554-{N},1
,39223202,Alias,39223202,39223202-{N},1
,24101181,Alias,24101181,24101181-{N},1
,28101048,Alias,28101048,28101048-{N},1
,28101025,Alias,28101025,28101025-{N},1
,DD101117,Alias,DD101117,DD101117-{N},1
,DS101272,Alias,DS101272,DS101272-{N},1
,AA101370,Alias,AA101370,AA101370-{N},1
,DS101273,Alias,DS101273,DS101273-{N},1
,AE101042,Alias,AE101042,AE101042-{N},1
,AE101002,Alias,AE101002,AE101002-{N},1
,AA101003,Alias,AA101003,AA101003-{N},1
,DU101075,Alias,DU101075,DU101075-{N},1
,DH101335,Alias,DH101335,DH101335-{N},1
,DH101789,Alias,DH101789,DH101789-{N},1
,DS101344,Alias,DS101344,DS101344-{N},1
,24101031,Alias,24101031,24101031-{N},1
,BA102174,Alias,BA102174,BA102174-{N},1
,29101019,Alias,29101019,29101019-{N},1
,DS101311,Alias,DS101311,DS101311-{N},1
,31101293,Alias,31101293,31101293-{N},1
,AA101033,Alias,AA101033,AA101033-{N},1
,JE531000,Alias,JE531000,JE531000-{N},1
,JB531018,Alias,JB531018,JB531018-{N},1
,JN531000,Alias,JN531000,JN531000-{N},1
,CD101082,Alias,CD101082,CD101082-{N},1
,JW531000,Alias,JW531000,JW531000-{N},1
,JA531000,Alias,JA531000,JA531000-{N},1
,JZ531003,Alias,JZ531003,JZ531003-{N},1
,DD70013N,Alias,DD70013N,DD70013N-{N},1
,DD101101,Alias,DD101101,DD101101-{N},1
,DH101582,Alias,DH101582,DH101582-{N},1
,DD101465,Alias,DD101465,DD101465-{N},1
,AN101033,Alias,AN101033,AN101033-{N},1
,DD101102,Alias,DD101102,DD101102-{N},1
,DU70013N,Alias,DU70013N,DU70013N-{N},1
,DH101586,Alias,DH101586,DH101586-{N},1
,29101313,Alias,29101313,29101313-{N},1
,JE541026,Alias,JE541026,JE541026-{N},1
,AA101463,Alias,AA101463,AA101463-{N},1
,52JE0012,Alias,52JE0012,52JE0012-{N},1
,BF541008,Alias,BF541008,BF541008-{N},1
,JA541009,Alias,JA541009,JA541009-{N},1
,AN101127,Alias,AN101127,AN101127-{N},1
,AN101070,Alias,AN101070,AN101070-{N},1
,JE541060,Alias,JE541060,JE541060-{N},1
,52JB0230,Alias,52JB0230,52JB0230-{N},1
,JA541045,Alias,JA541045,JA541045-{N},1
,JW541007,Alias,JW541007,JW541007-{N},1
,FA101002,Alias,FA101002,FA101002-{N},1
,JC101016,Alias,JC101016,JC101016-{N},1
,JC101045,Alias,JC101045,JC101045-{N},1
,DK101385,Alias,DK101385,DK101385-{N},1
,DU101398,Alias,DU101398,DU101398-{N},1
,PF541030,Alias,PF541030,PF541030-{N},1
,DJ101212,Alias,DJ101212,DJ101212-{N},1
,GF101021,Alias,GF101021,GF101021-{N},1
,JN541000,Alias,JN541000,JN541000-{N},1
,DU101280,Alias,DU101280,DU101280-{N},1
,JE541039,Alias,JE541039,JE541039-{N},1
,36JF0027,Alias,36JF0027,36JF0027-{N},1
,JW541006,Alias,JW541006,JW541006-{N},1
,BF541007,Alias,BF541007,BF541007-{N},1
,AU541007,Alias,AU541007,AU541007-{N},1
,AN101297,Alias,AN101297,AN101297-{N},1
,JE541062,Alias,JE541062,JE541062-{N},1
,JA541002,Alias,JA541002,JA541002-{N},1
,AA101735,Alias,AA101735,AA101735-{N},1
,JA541046,Alias,JA541046,JA541046-{N},1
,52JB0233,Alias,52JB0233,52JB0233-{N},1
,GF101025,Alias,GF101025,GF101025-{N},1
,DJ101213,Alias,DJ101213,DJ101213-{N},1
,DH102165,Alias,DH102165,DH102165-{N},1
,JN541002,Alias,JN541002,JN541002-{N},1
,JC101029,Alias,JC101029,JC101029-{N},1
,DS101320,Alias,DS101320,DS101320-{N},1
,DH101362,Alias,DH101362,DH101362-{N},1
,DS101184,Alias,DS101184,DS101184-{N},1
,PF531023,Alias,PF531023,PF531023-{N},1
,JM101008,Alias,JM101008,JM101008-{N},1
,JE531052,Alias,JE531052,JE531052-{N},1
,JB531023,Alias,JB531023,JB531023-{N},1
,GH101010,Alias,GH101010,GH101010-{N},1
,JU531027,Alias,JU531027,JU531027-{N},1
,JF531020,Alias,JF531020,JF531020-{N},1
,DJ101018,Alias,DJ101018,DJ101018-{N},1
,JC101001,Alias,JC101001,JC101001-{N},1
,JE531008,Alias,JE531008,JE531008-{N},1
,JE531040,Alias,JE531040,JE531040-{N},1
,AN101152,Alias,AN101152,AN101152-{N},1
,BF531055,Alias,BF531055,BF531055-{N},1
,JE531025,Alias,JE531025,JE531025-{N},1
,22101055,Alias,22101055,22101055-{N},1
,DH101629,Alias,DH101629,DH101629-{N},1
,DJ101203,Alias,DJ101203,DJ101203-{N},1
,03100627,Alias,03100627,03100627-{N},1
,DH101057,Alias,DH101057,DH101057-{N},1
,FA101017,Alias,FA101017,FA101017-{N},1
,GF101013,Alias,GF101013,GF101013-{N},1
,DP101034,Alias,DP101034,DP101034-{N},1
,DK101065,Alias,DK101065,DK101065-{N},1
,DU101005,Alias,DU101005,DU101005-{N},1
,BA102208,Alias,BA102208,BA102208-{N},1
,16101037,Alias,16101037,16101037-{N},1
,BB133084,Alias,BB133084,BB133084-{N},1
,BA132133,Alias,BA132133,BA132133-{N},1
,AB101067,Alias,AB101067,AB101067-{N},1
,22100703,Alias,22100703,22100703-{N},1
,52248006,Alias,52248006,52248006-{N},1
,PA401000,Alias,PA401000,PA401000-{N},1
,29191033,Alias,29191033,29191033-{N},1
,R52DU0782,Alias,R52DU0782,R52DU0782-{N},1
,22130147,Alias,22130147,22130147-{N},1
,BA231010,Alias,BA231010,BA231010-{N},1
,35171013,Alias,35171013,35171013-{N},1
,DH161112,Alias,DH161112,DH161112-{N},1
,DM101098,Alias,DM101098,DM101098-{N},1
,JG171061,Alias,JG171061,JG171061-{N},1
,BF551440,Alias,BF551440,BF551440-{N},1
,DH191023,Alias,DH191023,DH191023-{N},1
,AA101061,Alias,AA101061,AA101061-{N},1
,39170415,Alias,39170415,39170415-{N},1
,DI3W046,Alias,DI3W046,DI3W046-{N},1
,DI3W028,Alias,DI3W028,DI3W028-{N},1
,DH181014,Alias,DH181014,DH181014-{N},1
,DK181076,Alias,DK181076,DK181076-{N},1
,JA561003,Alias,JA561003,JA561003-{N},1
,15171011,Alias,15171011,15171011-{N},1
,BF171037,Alias,BF171037,BF171037-{N},1
,JD151036,Alias,JD151036,JD151036-{N},1
,01200213,Alias,01200213,01200213-{N},1
,DT181434,Alias,DT181434,DT181434-{N},1
,JY181404,Alias,JY181404,JY181404-{N},1
,JL181411,Alias,JL181411,JL181411-{N},1
,24170505,Alias,24170505,24170505-{N},1
,05101071,Alias,05101071,05101071-{N},1
,AA231154,Alias,AA231154,AA231154-{N},1
,BF191182,Alias,BF191182,BF191182-{N},1
,DJ181085,Alias,DJ181085,DJ181085-{N},1
,52JH0059,Alias,52JH0059,52JH0059-{N},1
,52JH0449,Alias,52JH0449,52JH0449-{N},1
,52JL1057,Alias,52JL1057,52JL1057-{N},1
,52JL1053,Alias,52JL1053,52JL1053-{N},1
,52JL1061,Alias,52JL1061,52JL1061-{N},1
,52JL1065,Alias,52JL1065,52JL1065-{N},1
,GF101045,Alias,GF101045,GF101045-{N},1
,31181015,Alias,31181015,31181015-{N},1
,DD101478,Alias,DD101478,DD101478-{N},1
,DJ101327,Alias,DJ101327,DJ101327-{N},1
,22101198,Alias,22101198,22101198-{N},1
,DK101625,Alias,DK101625,DK101625-{N},1
,DH101876,Alias,DH101876,DH101876-{N},1
,JW521000,Alias,JW521000,JW521000-{N},1
,36DH4103,Alias,36DH4103,36DH4103-{N},1
,DH101527,Alias,DH101527,DH101527-{N},1
,JC101037,Alias,JC101037,JC101037-{N},1
,DH101773,Alias,DH101773,DH101773-{N},1
,DJ101325,Alias,DJ101325,DJ101325-{N},1
,DJ101390,Alias,DJ101390,DJ101390-{N},1
,36JD0044,Alias,36JD0044,36JD0044-{N},1
,FD101064,Alias,FD101064,FD101064-{N},1
,JA521014,Alias,JA521014,JA521014-{N},1
,DH101308,Alias,DH101308,DH101308-{N},1
,FD171007,Alias,FD171007,FD171007-{N},1
,JA511030,Alias,JA511030,JA511030-{N},1
,CD101008,Alias,CD101008,CD101008-{N},1
,16101005,Alias,16101005,16101005-{N},1
,DP101345,Alias,DP101345,DP101345-{N},1
,JW511005,Alias,JW511005,JW511005-{N},1
,36FA1001,Alias,36FA1001,36FA1001-{N},1
,31101314,Alias,31101314,31101314-{N},1
,DD101105,Alias,DD101105,DD101105-{N},1
,28101017,Alias,28101017,28101017-{N},1
,28101128,Alias,28101128,28101128-{N},1
,DJ191032,Alias,DJ191032,DJ191032-{N},1
,JH131850,Alias,JH131850,JH131850-{N},1
,PD131887,Alias,PD131887,PD131887-{N},1
,24151291,Alias,24151291,24151291-{N},1
,JL131931,Alias,JL131931,JL131931-{N},1
,24151101,Alias,24151101,24151101-{N},1
,24151163,Alias,24151163,24151163-{N},1
,24151164,Alias,24151164,24151164-{N},1
,AN101133,Alias,AN101133,AN101133-{N},1
,JG521010,Alias,JG521010,JG521010-{N},1
,52JB0231,Alias,52JB0231,52JB0231-{N},1
,DS101402,Alias,DS101402,DS101402-{N},1
,36PD0099,Alias,36PD0099,36PD0099-{N},1
,36AN0010,Alias,36AN0010,36AN0010-{N},1
,DU101218,Alias,DU101218,DU101218-{N},1
,GF101147,Alias,GF101147,GF101147-{N},1
,DS101360,Alias,DS101360,DS101360-{N},1
,52JE0016,Alias,52JE0016,52JE0016-{N},1
,36AN0010K,Alias,36AN0010K,36AN0010K-{N},1
,AA101446K,Alias,AA101446K,AA101446K-{N},1
,DU101218KA,Alias,DU101218KA,DU101218KA-{N},1
,AN101123KA,Alias,AN101123KA,AN101123KA-{N},1
,AN101123K,Alias,AN101123K,AN101123K-{N},1
,AA101446KA,Alias,AA101446KA,AA101446KA-{N},1
,DU101218K,Alias,DU101218K,DU101218K-{N},1
,24151250,Alias,24151250,24151250-{N},1
,24151275,Alias,24151275,24151275-{N},1
,JW151023,Alias,JW151023,JW151023-{N},1
,24151258,Alias,24151258,24151258-{N},1
,DS181077,Alias,DS181077,DS181077-{N},1
,DG181028,Alias,DG181028,DG181028-{N},1
,AN101138,Alias,AN101138,AN101138-{N},1
,DH102103,Alias,DH102103,DH102103-{N},1
,DS101359,Alias,DS101359,DS101359-{N},1
,AN101013,Alias,AN101013,AN101013-{N},1
,AA101242,Alias,AA101242,AA101242-{N},1
,36AA4118,Alias,36AA4118,36AA4118-{N},1
,52JB0232,Alias,52JB0232,52JB0232-{N},1
,DJ101195,Alias,DJ101195,DJ101195-{N},1
,36AA4119,Alias,36AA4119,36AA4119-{N},1
,AU511002,Alias,AU511002,AU511002-{N},1
,DU101069,Alias,DU101069,DU101069-{N},1
,GF101119,Alias,GF101119,GF101119-{N},1
,BF511064,Alias,BF511064,BF511064-{N},1
,JZ511021,Alias,JZ511021,JZ511021-{N},1
,JA511009,Alias,JA511009,JA511009-{N},1
,JY511103,Alias,JY511103,JY511103-{N},1
,JU511049,Alias,JU511049,JU511049-{N},1
,JY511139,Alias,JY511139,JY511139-{N},1
,DU101328,Alias,DU101328,DU101328-{N},1
,DS101401,Alias,DS101401,DS101401-{N},1
,DJ101157,Alias,DJ101157,DJ101157-{N},1
,36JZ0182,Alias,36JZ0182,36JZ0182-{N},1
,DT131817,Alias,DT131817,DT131817-{N},1
,DJ191056,Alias,DJ191056,DJ191056-{N},1
,AH131867,Alias,AH131867,AH131867-{N},1
,30181053,Alias,30181053,30181053-{N},1
,39143104,Alias,39143104,39143104-{N},1
,39142604,Alias,39142604,39142604-{N},1
,52JH0067,Alias,52JH0067,52JH0067-{N},1
,52JU0207,Alias,52JU0207,52JU0207-{N},1
,52JU0210,Alias,52JU0210,52JU0210-{N},1
,52JU0213,Alias,52JU0213,52JU0213-{N},1
,52JU0214,Alias,52JU0214,52JU0214-{N},1
,PD351248,Alias,PD351248,PD351248-{N},1
,JA541215,Alias,JA541215,JA541215-{N},1
,DG141019,Alias,DG141019,DG141019-{N},1
,JA541027,Alias,JA541027,JA541027-{N},1
,DU161102,Alias,DU161102,DU161102-{N},1
,JE541209,Alias,JE541209,JE541209-{N},1
,DG161225,Alias,DG161225,DG161225-{N},1
,31161018,Alias,31161018,31161018-{N},1
,DG101339,Alias,DG101339,DG101339-{N},1
,DD161078,Alias,DD161078,DD161078-{N},1
,DD201010,Alias,DD201010,DD201010-{N},1
,DG161224,Alias,DG161224,DG161224-{N},1
,DG101188,Alias,DG101188,DG101188-{N},1
,DD201009,Alias,DD201009,DD201009-{N},1
,JD191021,Alias,JD191021,JD191021-{N},1
,DD201011,Alias,DD201011,DD201011-{N},1
,PD171049,Alias,PD171049,PD171049-{N},1
,DG161124,Alias,DG161124,DG161124-{N},1
,DD161022,Alias,DD161022,DD161022-{N},1
,DD101097,Alias,DD101097,DD101097-{N},1
,DH101509,Alias,DH101509,DH101509-{N},1
,JL591165,Alias,JL591165,JL591165-{N},1
,DF141129,Alias,DF141129,DF141129-{N},1
,DF141128,Alias,DF141128,DF141128-{N},1
,DG161276,Alias,DG161276,DG161276-{N},1
,DP161132,Alias,DP161132,DP161132-{N},1
,31101108,Alias,31101108,31101108-{N},1
,DH101292,Alias,DH101292,DH101292-{N},1
,DH101294,Alias,DH101294,DH101294-{N},1
,DH101285,Alias,DH101285,DH101285-{N},1
,DH101286,Alias,DH101286,DH101286-{N},1
,DS101210,Alias,DS101210,DS101210-{N},1
,DL161017,Alias,DL161017,DL161017-{N},1
,DH101430,Alias,DH101430,DH101430-{N},1
,DD101481,Alias,DD101481,DD101481-{N},1
,DH101287,Alias,DH101287,DH101287-{N},1
,DH141022,Alias,DH141022,DH141022-{N},1
,DS181009,Alias,DS181009,DS181009-{N},1
,DS181008,Alias,DS181008,DS181008-{N},1
,DG181054,Alias,DG181054,DG181054-{N},1
,DG171037,Alias,DG171037,DG171037-{N},1
,DH141023,Alias,DH141023,DH141023-{N},1
,CS101196,Alias,CS101196,CS101196-{N},1
,AL171017,Alias,AL171017,AL171017-{N},1
,DS211004,Alias,DS211004,DS211004-{N},1
,DS211005,Alias,DS211005,DS211005-{N},1
,DF161129,Alias,DF161129,DF161129-{N},1
,DF161098,Alias,DF161098,DF161098-{N},1
,DZ171009,Alias,DZ171009,DZ171009-{N},1
,DG171036,Alias,DG171036,DG171036-{N},1
,JL131232,Alias,JL131232,JL131232-{N},1
,JL171057,Alias,JL171057,JL171057-{N},1
,JY131201,Alias,JY131201,JY131201-{N},1
,BF581024,Alias,BF581024,BF581024-{N},1
,DG181088,Alias,DG181088,DG181088-{N},1
,DM181029,Alias,DM181029,DM181029-{N},1
,DM181030,Alias,DM181030,DM181030-{N},1
,DK101097,Alias,DK101097,DK101097-{N},1
,03170351,Alias,03170351,03170351-{N},1
,JZ161024,Alias,JZ161024,JZ161024-{N},1
,JM100040,Alias,JM100040,JM100040-{N},1
,PA113204,Alias,PA113204,PA113204-{N},1
,JZ113206,Alias,JZ113206,JZ113206-{N},1
,JN113200,Alias,JN113200,JN113200-{N},1
,JG113010,Alias,JG113010,JG113010-{N},1
,JL541230,Alias,JL541230,JL541230-{N},1
,BF601222,Alias,BF601222,BF601222-{N},1
,JU131222,Alias,JU131222,JU131222-{N},1
,PA131263,Alias,PA131263,PA131263-{N},1
,CS101368,Alias,CS101368,CS101368-{N},1
,PF121028,Alias,PF121028,PF121028-{N},1
,DK101191,Alias,DK101191,DK101191-{N},1
,JF171054,Alias,JF171054,JF171054-{N},1
,JD541000,Alias,JD541000,JD541000-{N},1
,PF541043,Alias,PF541043,PF541043-{N},1
,DJ101705,Alias,DJ101705,DJ101705-{N},1
,JE541038,Alias,JE541038,JE541038-{N},1
,JA521015,Alias,JA521015,JA521015-{N},1
